FID-200-192-5000: 0.90, IS: 4.97 ± 0.16
FID-200-192-10000: 0.99, IS: 4.99 ± 0.14
FID-200-2048-5000: 70.43, IS: 4.88 ± 0.14
FID-200-2048-10000: 65.62, IS: 4.98 ± 0.17

FID-opt1-192-5000: 0.81, IS: 4.97 ± 0.15
FID-opt1-192-10000: 0.74, IS: 5.07 ± 0.09
FID-opt1-2048-5000: 69.00, IS: 4.99 ± 0.25
FID-opt1_2048_10000: 63.51, IS: 5.05 ± 0.16

FID-opt2-192-5000: 0.77, IS: 4.87 ± 0.16
FID-opt2-192-10000: 0.74, IS: 4.96 ± 0.15
FID-opt2-2048-5000: 68.38, IS: 4.96 ± 0.16
FID-opt2-2048-10000: 63.56, IS: 5.02 ± 0.08

FID-opt2-2048-10000-10mean: 63.64 ± 0.26, IS: 5.06 ± 0.11




